bjd_tdb,flux_rel,flux_rel_err,exptime_s,filter
61026.279350243,0.97157776,0.0394337,1.0000044,g
61026.279361818,0.9468152,0.0375873,1.0000044,g
61026.279373392,1.09066569,0.03888009,1.0000044,g
61026.279384967,1.00553549,0.03710461,1.0000044,g
61026.279396542,1.03781641,0.03875305,1.0000044,g
61026.279408117,1.01794604,0.03824125,1.0000044,g
61026.279419692,0.93882636,0.03661818,1.0000044,g
61026.279431267,0.94267345,0.03794008,1.0000044,g
61026.279442842,0.96439543,0.03965833,1.0000044,g
61026.279454416,0.93081018,0.03745822,1.0000044,g
61026.279465991,1.03196375,0.03829064,1.0000044,g
61026.279477566,0.94361944,0.03802167,1.0000044,g
61026.279489141,0.97632508,0.03740415,1.0000044,g
61026.279500716,0.96473009,0.03732352,1.0000044,g
61026.279512291,0.91567255,0.03661457,1.0000044,g
61026.279523866,0.92201996,0.03675589,1.0000044,g
61026.27953544,0.91357973,0.03750661,1.0000044,g
61026.279547015,0.94604023,0.03939635,1.0000044,g
61026.27955859,1.06355872,0.04036083,1.0000044,g
61026.279570165,1.00360762,0.03852405,1.0000044,g
61026.27958174,1.03854458,0.03902239,1.0000044,g
61026.279593315,0.94061476,0.03727156,1.0000044,g
61026.27960489,0.99287012,0.036576,1.0000044,g
61026.279616465,1.02293893,0.03775301,1.0000044,g
61026.279628039,0.93694245,0.03668844,1.0000044,g
61026.279639614,0.93659372,0.03695782,1.0000044,g
61026.279651189,1.09842292,0.03951619,1.0000044,g
61026.279662764,0.99278796,0.03777772,1.0000044,g
61026.279674339,0.88175749,0.03614382,1.0000044,g
61026.279685914,1.03931543,0.03766992,1.0000044,g
61026.279697489,1.02761354,0.03784737,1.0000044,g
61026.279709063,1.0911911,0.03931812,1.0000044,g
61026.279720638,1.11362544,0.03873245,1.0000044,g
61026.279732213,0.96934721,0.03701802,1.0000044,g
61026.279743788,1.04709718,0.0385958,1.0000044,g
61026.279755363,1.09606006,0.03968296,1.0000044,g
61026.279766938,1.07360547,0.03951799,1.0000044,g
61026.279778513,1.10528935,0.0391724,1.0000044,g
61026.279790088,1.09397139,0.03894542,1.0000044,g
61026.279801662,1.02800289,0.03828485,1.0000044,g
61026.279813237,1.03807472,0.03899141,1.0000044,g
61026.279824812,1.10328837,0.03878273,1.0000044,g
61026.279836387,0.96388653,0.0365352,1.0000044,g
61026.279847962,1.00790655,0.03829239,1.0000044,g
61026.279859537,0.98288584,0.0375892,1.0000044,g
61026.279871112,1.06290588,0.03809839,1.0000044,g
61026.279882686,1.14936772,0.0401909,1.0000044,g
61026.279894261,1.15909194,0.04036166,1.0000044,g
61026.279905836,1.12274877,0.03987081,1.0000044,g
61026.279917411,1.01919184,0.03772765,1.0000044,g
61026.279928986,1.01721433,0.03792528,1.0000044,g
61026.279940561,1.08665204,0.03907261,1.0000044,g
61026.279952136,1.10265556,0.03979565,1.0000044,g
61026.279963711,1.08077215,0.0387195,1.0000044,g
61026.279975285,1.08767943,0.04053639,1.0000044,g
61026.27998686,1.09009537,0.03981291,1.0000044,g
61026.279998435,1.10672559,0.03972387,1.0000044,g
61026.28001001,1.04028104,0.03852379,1.0000044,g
61026.280021585,1.06639253,0.03984512,1.0000044,g
61026.28003316,1.05332316,0.03950448,1.0000044,g
61026.280044735,1.06346296,0.03903465,1.0000044,g
61026.280056309,1.12056763,0.04072739,1.0000044,g
61026.280067884,1.10738403,0.04068847,1.0000044,g
61026.280079459,1.0990169,0.03979575,1.0000044,g
61026.280091034,1.07332449,0.03867674,1.0000044,g
61026.280102609,1.07527657,0.03957199,1.0000044,g
61026.280114184,1.06729886,0.03896191,1.0000044,g
61026.280125759,1.11736459,0.0409371,1.0000044,g
61026.280137334,1.17143068,0.0417365,1.0000044,g
61026.280148908,1.18453176,0.04142187,1.0000044,g
61026.280160483,1.02542343,0.04077599,1.0000044,g
61026.280172058,1.11673146,0.04127901,1.0000044,g
61026.280183633,1.0897244,0.04109172,1.0000044,g
61026.280195208,1.14925949,0.04138363,1.0000044,g
61026.280206783,1.12736016,0.04017442,1.0000044,g
61026.280218358,1.07132045,0.03860232,1.0000044,g
61026.280229932,1.01375305,0.0401011,1.0000044,g
61026.280241507,1.09916905,0.04105684,1.0000044,g
61026.280253082,1.07840202,0.0393599,1.0000044,g
61026.280264657,1.06574305,0.03868626,1.0000044,g
61026.280276232,1.20025664,0.04023112,1.0000044,g
61026.280287807,1.0635293,0.03832521,1.0000044,g
61026.280299382,1.12114832,0.03945219,1.0000044,g
61026.280310956,1.12620956,0.03950175,1.0000044,g
61026.280322531,1.08306587,0.03882275,1.0000044,g
61026.280334106,0.98524308,0.03775206,1.0000044,g
61026.280345681,1.08901742,0.03903907,1.0000044,g
61026.280357256,1.04673324,0.03878405,1.0000044,g
61026.280368831,1.04595731,0.03881693,1.0000044,g
61026.280380406,1.01919124,0.03850758,1.0000044,g
61026.280391981,0.98811909,0.03827369,1.0000044,g
61026.280403555,1.09186686,0.03909497,1.0000044,g
61026.28041513,1.03184248,0.0378154,1.0000044,g
61026.280426705,1.10870642,0.0392665,1.0000044,g
61026.28043828,1.1123152,0.03999853,1.0000044,g
61026.280449855,1.10979784,0.03918181,1.0000044,g
61026.28046143,1.13606717,0.03939219,1.0000044,g
61026.280473005,1.08311676,0.03864474,1.0000044,g
61026.280484579,1.022725,0.03817471,1.0000044,g
61026.280496154,1.05067252,0.03888094,1.0000044,g
61026.280507729,1.02515367,0.03842879,1.0000044,g
61026.280519304,1.06094459,0.03853936,1.0000044,g
61026.280530879,1.03771063,0.03879781,1.0000044,g
61026.280542454,0.96119209,0.03696004,1.0000044,g
61026.280554029,1.00327694,0.03800782,1.0000044,g
61026.280565604,0.99470199,0.03749103,1.0000044,g
61026.280577178,1.05077089,0.03910197,1.0000044,g
61026.280588753,0.98814749,0.03855679,1.0000044,g
61026.280600328,1.05947894,0.04034575,1.0000044,g
61026.280611903,0.98365894,0.03825549,1.0000044,g
61026.280623478,0.99666488,0.03794949,1.0000044,g
61026.280635053,1.01016048,0.03870918,1.0000044,g
61026.280646628,0.98892877,0.03727149,1.0000044,g
61026.280658202,0.98948742,0.03710705,1.0000044,g
61026.280669777,1.09623914,0.04023259,1.0000044,g
61026.280681352,1.01852849,0.0394412,1.0000044,g
61026.280692927,0.98100369,0.03845986,1.0000044,g
61026.280704502,1.02086825,0.03910479,1.0000044,g
61026.280716077,1.01043756,0.03830266,1.0000044,g
61026.280727652,0.9568209,0.03734646,1.0000044,g
61026.280739226,0.97141387,0.03808171,1.0000044,g
61026.280750801,1.01531446,0.03832408,1.0000044,g
