bjd_tdb,flux_rel,flux_rel_err,filter,exptime_s
60033.16836864,0.737674,0.083626,u,24.000192
60033.16840371,0.72771,0.047171,g,24.000192
60033.16840371,0.979631,0.106401,i,24.000192
60033.16847383,0.782795,0.049086,g,24.000192
60033.16847383,0.746494,0.107839,i,24.000192
60033.1685089,0.796891,0.089339,u,24.000192
60033.16854396,0.669227,0.047635,g,24.000192
60033.16854396,0.613358,0.099941,i,24.000192
60033.16861409,0.634605,0.044524,g,24.000192
60033.16861409,0.678051,0.090405,i,24.000192
60033.16864915,0.568941,0.080135,u,24.000192
60033.16868421,0.554079,0.044172,g,24.000192
60033.16868421,0.723329,0.094941,i,24.000192
60033.16875434,0.62232,0.04772,g,24.000192
60033.16875434,0.74547,0.108614,i,24.000192
60033.1687894,0.5384,0.081851,u,24.000192
60033.16882447,0.546206,0.042676,g,24.000192
60033.16882447,0.64074,0.095223,i,24.000192
60033.16889459,0.569912,0.048549,g,24.000192
60033.16889459,0.50865,0.106333,i,24.000192
60033.16892966,0.666701,0.08297,u,24.000192
60033.16896472,0.616864,0.044613,g,24.000192
60033.16896472,0.590671,0.09833,i,24.000192
60033.16903485,0.584974,0.044601,g,24.000192
60033.16903485,0.660127,0.107303,i,24.000192
60033.16906991,0.616611,0.085715,u,24.000192
60033.16910497,0.636737,0.047347,g,24.000192
60033.16910497,0.585927,0.102862,i,24.000192
60033.1691751,0.726766,0.046734,g,24.000192
60033.1691751,0.937899,0.105679,i,24.000192
60033.16921016,0.752373,0.087385,u,24.000192
60033.16924523,0.756391,0.047461,g,24.000192
60033.16924523,0.882399,0.10836,i,24.000192
60033.16931535,0.923119,0.046396,g,24.000192
60033.16931535,0.777679,0.101181,i,24.000192
60033.16935042,0.970316,0.081661,u,24.000192
60033.16938548,0.964464,0.043985,g,24.000192
60033.16938548,1.037084,0.094373,i,24.000192
60033.16945561,0.974699,0.04508,g,24.000192
60033.16945561,0.869473,0.101099,i,24.000192
60033.16949067,1.004577,0.082461,u,24.000192
60033.16952573,0.955804,0.046272,g,24.000192
60033.16952573,0.860996,0.096537,i,24.000192
60033.16959586,1.037546,0.050884,g,24.000192
60033.16959586,0.899689,0.111772,i,24.000192
60033.16963092,1.081257,0.097638,u,24.000192
60033.16966599,1.067176,0.049672,g,24.000192
60033.16966599,1.064264,0.111042,i,24.000192
60033.16973611,1.114246,0.050449,g,24.000192
60033.16973611,1.236394,0.112016,i,24.000192
60033.16977118,1.067335,0.087731,u,24.000192
60033.16980624,1.081489,0.047405,g,24.000192
60033.16980624,1.178484,0.103141,i,24.000192
60033.16987637,0.980024,0.04772,g,24.000192
60033.16987637,0.936326,0.102226,i,24.000192
60033.16991143,1.265351,0.089852,u,24.000192
60033.16994649,0.983631,0.049326,g,24.000192
60033.16994649,1.106398,0.104125,i,24.000192
60033.17001662,1.101678,0.048076,g,24.000192
60033.17001662,1.149323,0.101978,i,24.000192
60033.17005168,1.175223,0.091943,u,24.000192
60033.17008675,0.986359,0.053934,g,24.000192
60033.17008675,1.103542,0.116165,i,24.000192
60033.17015687,1.095985,0.052591,g,24.000192
60033.17015687,1.288701,0.122084,i,24.000192
60033.17019194,1.08756,0.102727,u,24.000192
60033.170227,1.152915,0.055574,g,24.000192
60033.170227,1.155013,0.120511,i,24.000192
60033.17029713,1.054781,0.049875,g,24.000192
60033.17029713,0.972671,0.106674,i,24.000192
60033.17033219,1.038502,0.085656,u,24.000192
60033.17036725,1.058222,0.047221,g,24.000192
60033.17036725,1.222399,0.104171,i,24.000192
60033.17043738,1.037058,0.044327,g,24.000192
60033.17043738,1.282121,0.098085,i,24.000192
60033.17047244,1.106268,0.079497,u,24.000192
60033.17050751,1.133648,0.043738,g,24.000192
60033.17050751,1.139705,0.097274,i,24.000192
60033.17057763,1.091714,0.042671,g,24.000192
60033.17057763,1.031415,0.09521,i,24.000192
60033.1706127,0.944759,0.084528,u,24.000192
60033.17064776,1.114689,0.049023,g,24.000192
60033.17064776,1.182977,0.111555,i,24.000192
60033.17071789,1.134241,0.059862,g,24.000192
60033.17071789,1.190124,0.130692,i,24.000192
60033.17075295,1.325732,0.104062,u,24.000192
60033.17078801,1.102203,0.05542,g,24.000192
