mjd,flux_uJy,flux_err_uJy,filter,mag_5sigma_limit
59257.408249,44,10,c,19.43
59257.408707,57,11,c,19.47
59257.413738,43,10,c,19.44
59257.414196,47,11,c,19.51
59257.423859,54,9,c,19.49
59257.424317,62,10,c,19.48
59265.440633,12694360786,19519285940,o,-3.63
59265.450458,48,439,o,15.6
59265.452262,-319,189,o,16.21
59267.486261,36,17,o,19.06
59267.489484,15,15,o,19.03
59267.494608,17,16,o,19.0
59271.461842,17,34,o,18.22
59271.465067,24,29,o,18.22
59271.472438,6,35,o,18.17
59277.468691,55,22,o,18.75
59277.472958,42,19,o,18.71
59277.478124,53,22,o,18.75
59277.491097,-15,36,o,18.61
59289.408149,37,12,c,19.44
59289.408607,45,11,c,19.47
59289.412367,54,14,c,19.4
59289.412825,67,14,c,19.43
59289.417887,43,13,c,19.44
59289.418345,47,13,c,19.47
59289.430177,55,12,c,19.4
59289.431099,57,12,c,19.46
59305.327695,32,14,o,19.13
59305.330906,43,16,o,19.13
59305.337339,60,15,o,19.13
59305.340554,32,20,o,19.05
59305.343768,74,18,o,18.97
59305.347433,32,25,o,18.95
59305.352042,50,24,o,18.83
59305.362629,75,26,o,18.51
59315.328375,38,10,c,19.74
59315.331602,40,8,c,19.7
59315.338987,58,10,c,19.72
59315.350509,48,10,c,19.65
59319.318265,48,9,c,19.68
59319.321953,52,9,c,19.76
59319.327481,66,10,c,19.61
59319.337617,47,11,c,19.71
59321.29225,40,18,o,19.02
59321.295453,-5,17,o,19.05
59321.301446,56,17,o,19.08
59321.312461,44,19,o,18.98
59331.282493,50,35,o,18.21
59331.286178,10,42,o,18.23
59331.29264,18,45,o,18.12
59331.306472,26,51,o,17.94
59333.280005,29,22,o,18.88
59333.280463,15,22,o,18.95
59333.283217,46,18,o,18.9
59333.283675,34,24,o,18.92
59333.289176,56,22,o,18.84
59333.289634,36,20,o,18.81
59333.300757,40,28,o,18.54
59333.301215,35,31,o,18.48
59335.280185,35,14,o,19.32
59335.283868,23,14,o,19.34
59335.289392,38,14,o,19.43
59335.301384,17,14,o,19.34
59337.243572,34,23,c,18.8
59337.244029,49,25,c,18.88
59337.246773,64,23,c,18.94
59337.247688,15,22,c,18.8
59337.252264,52,17,c,18.78
59337.253178,22,22,c,18.71
59337.264614,254,225,c,16.54
59337.265071,-790,348,c,16.3
59343.257992,40,15,o,19.31
59343.265368,11,17,o,19.26
59343.268602,14,12,o,19.33
59343.279663,-2,14,o,19.25
59349.243174,98,32,c,18.25
59349.245462,-16,17,c,18.75
59349.246397,102,28,c,18.73
59349.248694,27,17,c,19.01
59349.251905,30,17,c,18.97
59349.256485,36,19,c,19.19
59349.262488,30,18,c,19.06
59349.268605,53,16,c,19.2
59355.241272,43,26,o,18.74
59355.244494,46,22,o,18.92
59355.252322,38,19,o,18.94
59355.262455,-7,17,o,19.0
59357.24432,26,48,o,18.01
59357.247524,48,40,o,18.1
59357.253039,-11,39,o,18.21
59357.263114,69,42,o,18.12
59359.243654,40,34,o,17.98
59359.247342,-59,38,o,18.15
59359.254707,-20,36,o,18.28
59359.26577,55,38,o,18.2
59531.61479,-162,74,o,18.28
59531.618934,-40,40,o,18.31
59531.635129,-38,30,o,18.32
59531.646176,-116,51,o,17.85
59535.601037,133,116,o,17.21
59535.604276,140,106,o,17.25
59535.610738,-136,140,o,17.32
59535.630155,66,39,o,18.07
59537.628959,72,33,o,18.09
59537.635373,-8,38,o,18.05
59537.652173,61,47,o,17.84
59537.657661,5,120,o,17.14
59539.616544,19,46,o,18.1
59539.620693,-60,42,o,18.18
59539.63695,-53,49,o,18.08
59539.649393,-88,38,o,17.91
59541.604785,-7,27,o,18.57
59541.608448,18,24,o,18.73
59541.613944,4,22,o,18.76
59541.618076,-7,22,o,18.64
59541.621277,55,20,o,18.64
